age_upon_outcome,sex_upon_outcome,animal_type,breed,color
21,2,1,353,388
38,2,0,548,84
35,2,0,548,84
35,3,0,552,84
40,2,1,673,388
21,2,0,544,136
5,2,0,544,136
5,0,0,551,55
37,2,0,552,222
37,2,0,552,305
37,3,0,552,55
29,1,1,720,37
27,3,1,901,475
21,0,1,1038,372
27,3,1,901,118
5,3,1,115,52
25,2,0,544,297
19,3,1,720,55
19,3,1,720,55
25,2,0,544,297
26,0,0,552,7
26,0,0,552,58
12,2,1,590,250
25,3,1,901,434
25,3,1,901,434
5,2,1,398,374
31,2,1,398,434
12,2,1,1156,370
27,3,1,446,175
27,3,1,446,175
21,2,1,230,434
27,0,1,165,444
25,2,1,1009,52
27,2,1,770,250
27,2,1,770,250
25,3,0,552,297
10,3,0,790,136
19,2,0,552,297
33,0,1,271,118
35,2,0,552,58
27,0,1,398,388
25,2,0,552,136
31,2,0,1073,350
31,2,0,1052,350
21,3,0,552,391
31,2,1,611,348
35,2,1,481,311
35,0,1,479,317
39,2,1,901,244
27,3,1,1114,434
27,2,1,907,58
27,2,1,907,58
21,2,1,907,58
35,3,1,580,55
12,0,1,1116,432
33,0,1,270,444
21,1,1,509,37
31,2,1,977,238
31,2,1,977,238
21,3,1,969,237
21,3,1,969,237
31,2,1,629,258
33,3,1,74,475
33,3,1,74,434
27,3,1,398,213
21,2,1,382,173
39,2,1,720,215
13,2,0,1052,350
9,2,0,552,84
21,0,1,720,55
39,3,1,1056,55
5,3,1,844,154
5,3,1,844,154
27,3,1,398,475
10,2,1,901,118
10,2,1,901,118
14,0,1,590,37
35,3,1,398,37
33,1,1,901,173
6,2,1,979,36
21,3,1,398,432
21,3,1,398,432
27,2,1,23,432
37,2,1,945,55
37,2,1,945,55
33,2,1,945,55
5,0,1,901,388
40,3,1,153,416
29,1,0,552,84
21,4,0,552,136
42,1,1,720,7
5,2,1,720,55
21,0,0,552,55
27,0,1,799,37
5,2,1,901,475
35,3,1,398,388
42,2,1,192,416
21,0,1,901,117
5,0,0,552,442
33,1,0,548,175
27,2,1,795,432
40,2,1,65,76
40,2,1,65,76
30,0,0,552,149
19,2,0,552,136
19,2,0,552,136
30,0,0,552,136
30,1,0,552,91
30,1,0,552,84
5,2,1,820,311
2,0,1,901,118
2,1,1,901,118
2,1,1,901,118
40,2,1,398,388
19,2,0,552,297
6,2,1,50,444
21,2,1,901,117
31,3,1,330,55
40,3,1,720,7
33,3,1,65,469
33,3,1,65,434
7,3,0,552,305
7,3,0,552,305
31,2,1,65,128
31,2,1,65,128
35,2,1,65,434
31,2,1,65,434
31,2,1,65,434
27,2,1,398,416
27,2,1,488,173
5,0,1,755,372
42,2,1,1133,237
19,3,0,552,391
30,0,0,552,7
30,0,0,552,401
13,3,1,65,65
37,1,1,605,349
6,2,0,552,297
6,2,0,552,297
42,2,1,960,388
19,3,0,544,136
5,3,1,1151,388
19,3,0,548,149
19,2,0,548,222
27,3,1,776,199
19,2,0,548,222
19,2,0,552,305
35,2,1,901,173
27,2,1,901,173
5,3,1,652,432
8,3,1,652,432
5,3,1,764,55
21,3,1,135,416
21,3,1,135,416
31,3,1,398,246
29,2,0,552,55
29,2,0,552,55
31,3,1,65,312
19,2,0,552,136
19,0,0,548,84
38,3,0,133,289
5,2,1,901,444
29,1,1,214,337
27,3,1,620,154
19,0,0,1019,58
9,3,1,629,311
19,3,0,552,434
19,2,0,1052,79
5,1,1,398,7
5,3,1,1009,52
40,0,0,552,401
21,2,1,932,237
19,2,0,552,265
19,3,0,552,265
35,3,1,23,432
40,2,0,552,7
33,2,0,552,136
37,0,0,552,447
21,3,1,720,475
19,2,0,552,305
21,2,1,398,416
7,3,1,580,7
5,3,1,720,491
21,3,1,719,7
5,3,1,719,7
21,3,1,398,372
43,3,1,720,372
43,3,1,720,372
43,3,1,1133,58
5,3,1,1036,416
5,3,1,1036,416
27,3,0,544,84
27,3,1,720,7
21,3,1,720,7
5,3,1,720,7
35,1,1,1038,217
37,3,0,544,222
5,3,0,552,136
39,0,0,552,184
19,3,0,544,409
19,2,0,544,297
19,2,0,552,58
25,2,0,552,7
25,2,0,552,55
25,3,0,552,149
27,2,1,306,475
27,2,1,306,475
27,2,1,306,475
21,1,1,306,475
19,1,0,552,297
13,3,1,691,444
21,1,1,901,128
10,2,0,544,297
38,2,1,589,52
5,2,1,586,388
2,1,0,552,7
2,0,0,552,55
5,0,0,552,401
6,0,0,544,401
6,0,0,552,297
6,4,0,552,297
21,2,1,645,278
38,0,1,901,128
25,0,0,552,439
31,3,1,153,416
11,2,0,552,55
31,0,0,552,184
5,0,1,1151,491
19,2,1,1153,388
19,2,1,1153,235
29,3,1,1153,235
2,3,1,1153,235
27,0,1,901,58
5,4,0,544,7
5,3,1,876,55
5,3,1,935,118
5,3,1,935,118
21,3,1,320,491
19,3,1,320,491
5,2,1,211,416
5,2,1,211,416
5,2,1,211,416
41,3,1,901,337
21,3,1,1128,311
21,3,0,552,7
19,3,1,683,481
27,3,1,1088,475
21,3,1,1088,475
21,0,1,1088,475
21,2,1,398,128
21,0,1,317,372
21,3,1,590,416
21,2,1,568,416
5,2,1,1009,48
6,4,0,1052,289
29,0,0,544,401
21,2,1,1009,37
25,3,1,1009,37
5,2,0,552,149
30,4,1,1098,372
5,2,1,1056,52
21,1,1,901,439
27,1,1,652,432
11,3,0,552,297
29,2,1,901,388
21,2,0,552,84
21,3,1,1088,432
21,2,1,271,173
37,1,0,552,149
21,1,1,901,115
5,1,1,901,115
10,2,0,552,265
10,2,0,552,265
5,2,1,256,237
5,3,1,488,311
21,3,1,472,55
5,2,1,198,326
27,2,1,398,171
25,3,0,552,55
25,2,0,552,305
19,1,0,1052,247
25,3,0,552,7
39,0,0,552,136
42,2,0,552,136
19,3,0,552,391
19,2,0,548,305
19,2,0,552,84
25,0,1,398,481
43,3,1,720,7
33,2,1,901,173
33,2,1,901,173
5,3,1,256,117
19,2,0,790,136
25,1,0,552,149
5,0,0,544,55
19,3,0,552,391
41,2,1,109,55
21,1,0,552,55
29,2,1,242,7
25,2,1,242,7
19,2,1,242,7
37,3,1,38,128
7,3,1,353,441
19,3,0,552,184
38,3,0,547,297
38,3,0,547,297
38,3,0,547,297
38,2,1,481,52
38,2,1,481,52
42,0,1,153,416
25,4,0,548,58
31,2,1,3,117
31,2,1,3,117
10,3,0,552,401
10,3,0,552,401
21,2,1,901,118
5,2,1,901,118
5,1,0,552,297
21,2,1,1038,444
37,3,1,901,128
2,0,0,552,55
2,0,0,548,136
19,0,0,548,55
27,3,1,271,173
31,2,1,488,213
5,2,1,397,37
37,3,1,226,96
2,2,0,548,297
21,3,0,552,184
5,3,1,901,215
21,2,1,762,55
21,2,1,762,55
21,2,1,762,55
5,2,1,762,55
42,0,1,901,445
35,2,1,671,173
27,2,1,671,173
38,2,1,720,7
2,0,0,552,136
19,2,0,551,305
21,3,0,551,305
19,3,0,551,305
19,3,0,551,184
2,3,0,551,401
35,3,0,552,401
25,3,0,552,7
6,2,1,994,55
19,3,0,552,434
21,2,1,398,337
21,2,0,552,149
29,3,0,552,7
5,2,1,940,128
26,0,0,552,391
27,2,0,552,55
5,4,0,552,58
5,4,0,552,84
5,4,0,552,136
21,3,1,901,173
21,2,0,544,305
27,1,1,1098,432
19,3,1,688,475
29,1,0,552,136
10,2,1,839,38
5,3,1,199,117
21,1,0,552,7
21,0,0,552,7
30,0,0,552,7
30,1,0,552,7
2,1,0,552,7
39,3,1,99,175
39,3,1,99,7
2,0,0,1052,350
31,3,1,488,311
31,2,1,488,52
21,2,1,398,444
27,2,1,901,128
35,3,1,901,182
31,3,1,901,182
31,3,1,901,182
21,3,1,901,182
27,3,1,988,475
2,0,1,398,55
2,0,1,398,55
2,1,1,398,416
2,1,1,398,119
5,0,0,552,7
5,1,1,1031,475
35,2,1,580,7
43,3,1,1088,484
39,3,1,1088,484
37,3,1,1088,484
5,3,0,552,55
5,3,0,552,7
5,0,0,552,7
5,1,0,552,55
7,2,1,967,374
42,3,1,65,443
19,0,1,901,117
20,1,0,552,7
20,1,0,552,136
20,0,0,552,279
20,0,0,552,84
5,3,1,720,388
5,3,1,720,388
19,3,1,720,388
19,2,1,901,118
19,3,1,901,13
41,3,1,872,434
25,3,0,544,55
5,3,1,901,128
5,3,1,901,128
37,3,1,901,128
21,3,1,333,55
21,3,1,398,372
21,2,1,398,388
21,3,1,398,372
7,2,0,544,278
31,3,0,552,401
21,1,1,901,115
37,3,1,580,55
5,0,0,552,184
5,0,0,552,391
5,0,0,552,149
37,3,0,552,391
29,2,0,552,149
41,0,0,552,391
29,1,0,552,136
21,1,0,1052,200
21,3,1,1156,326
24,0,1,1157,416
5,2,0,1073,77
41,1,0,790,136
19,2,0,544,136
35,3,1,479,311
5,2,1,645,55
27,1,0,552,149
21,3,0,552,400
21,3,1,353,416
21,3,1,581,7
19,2,1,613,55
19,2,1,613,55
2,0,1,613,55
2,1,1,613,55
19,3,1,613,55
19,2,1,613,372
19,3,1,613,349
2,2,1,613,128
21,1,1,398,444
19,2,0,552,55
7,2,0,552,136
19,3,0,552,55
5,2,1,590,37
19,3,1,901,388
42,0,1,153,52
38,2,1,456,55
19,1,1,490,434
21,2,1,598,173
21,2,1,598,173
21,2,1,598,173
27,2,1,141,173
21,2,1,141,173
21,3,1,901,372
21,3,1,901,372
35,0,1,398,55
5,2,1,118,57
19,2,0,552,305
35,3,1,901,115
38,3,1,825,432
35,3,1,825,432
27,3,1,825,432
42,1,1,959,45
40,1,1,959,45
33,2,0,544,55
21,2,1,488,7
11,2,0,544,7
5,2,1,834,432
21,0,1,901,118
21,3,1,822,117
11,3,0,680,289
21,2,1,398,372
5,1,1,781,176
7,2,1,480,52
19,3,1,972,117
39,0,0,552,149
35,3,1,720,481
42,1,1,720,481
41,1,1,398,416
5,0,0,552,391
5,1,1,398,215
5,2,1,509,117
21,3,1,1076,432
43,3,1,923,55
39,1,1,1056,337
19,1,0,548,55
8,1,1,333,55
5,3,1,900,55
21,3,1,901,388
21,3,1,901,388
29,0,1,398,246
21,0,1,838,7
5,3,1,945,434
29,0,1,945,434
21,0,0,552,218
25,0,0,552,391
21,0,1,1157,365
8,3,1,199,117
2,0,1,825,235
10,2,1,825,432
21,3,1,590,374
27,2,1,410,173
19,0,0,1052,350
5,3,1,825,432
21,2,1,796,432
19,1,0,552,136
5,3,0,552,55
5,3,0,552,55
44,3,1,488,388
44,2,1,488,429
27,2,1,901,237
44,3,0,552,84
42,3,0,552,84
22,0,0,552,149
21,2,1,51,388
21,2,1,51,388
21,3,1,795,432
19,2,1,791,250
25,3,1,1098,432
6,2,1,720,55
41,3,1,199,154
39,3,1,199,154
21,3,0,548,415
19,2,1,398,217
19,3,1,398,372
8,3,1,398,37
2,3,1,398,37
31,2,1,839,7
21,2,1,839,7
19,2,1,901,475
5,2,1,398,388
27,3,1,1038,7
38,2,1,540,434
35,2,1,540,434
5,2,1,588,52
40,3,0,552,401
40,3,0,552,265
40,3,0,552,55
19,0,1,51,388
5,3,1,398,388
5,3,1,901,388
5,3,1,901,388
5,3,1,901,388
5,0,1,901,388
5,2,1,217,115
27,1,1,901,173
5,3,1,398,173
21,3,1,945,55
21,3,1,945,55
5,2,1,901,55
6,2,1,901,115
21,3,1,901,115
5,0,1,1038,311
5,1,1,1038,175
21,2,1,901,246
5,3,1,820,311
5,2,1,1157,173
5,2,1,824,432
5,0,0,552,198
20,0,0,552,305
20,1,0,552,305
21,3,1,132,117
5,3,1,217,13
5,3,1,984,92
10,3,0,548,55
21,3,1,1031,173
19,3,1,1031,65
19,3,1,1031,235
19,2,1,488,311
27,2,1,781,55
21,2,1,720,7
35,3,1,353,317
40,2,0,548,305
33,0,1,720,55
37,1,0,552,149
21,3,0,552,434
21,3,0,552,434
5,3,1,901,445
38,3,1,65,92
21,1,1,230,55
40,2,1,891,311
40,2,1,891,311
42,3,1,720,175
42,2,1,590,154
31,1,1,901,246
19,2,0,552,55
19,2,0,552,136
6,3,1,398,118
39,2,1,645,118
21,1,1,692,173
2,2,1,51,173
2,1,1,51,173
2,3,1,51,341
25,1,1,901,215
25,0,1,691,463
25,0,1,691,199
25,0,1,691,288
27,3,1,901,459
21,2,1,1141,434
21,2,1,115,434
19,2,0,548,297
19,3,0,548,55
19,3,0,548,149
5,0,0,548,415
29,2,0,552,115
38,2,0,552,455
40,3,0,548,184
33,2,1,720,55
26,0,0,544,136
26,0,0,544,136
29,0,0,552,401
21,3,1,998,340
21,3,1,998,340
27,3,1,479,118
39,3,1,479,118
8,3,1,526,434
5,2,0,552,55
5,3,0,548,184
40,2,1,901,246
31,2,1,901,246
31,2,1,901,246
5,3,0,548,184
39,3,1,720,199
33,3,0,808,55
39,2,1,720,117
5,2,1,901,115
5,1,1,901,115
33,0,0,552,55
37,1,0,552,55
5,3,1,750,388
25,3,0,552,391
19,0,0,552,415
19,1,0,552,149
25,2,0,552,305
40,3,1,398,175
27,3,1,398,117
29,2,1,945,55
2,1,1,437,154
2,0,1,437,154
5,0,0,552,439
19,2,0,552,149
19,2,0,552,91
19,2,0,552,55
21,4,0,548,439
27,0,1,398,374
31,2,1,23,432
40,3,1,901,115
21,1,1,881,173
35,3,1,353,118
35,3,1,353,118
37,2,1,211,52
18,4,0,552,391
27,2,1,629,311
19,3,1,720,52
29,2,1,65,372
2,2,1,65,372
2,3,1,65,65
19,2,1,720,52
5,3,1,397,388
5,0,1,397,388
5,3,1,1056,459
8,3,1,1056,459
8,3,1,1056,459
6,3,1,1056,459
5,2,1,720,481
2,0,0,552,84
7,3,0,552,447
5,3,1,720,117
41,3,1,935,118
2,3,1,935,118
29,1,1,799,55
21,2,1,398,416
8,3,1,688,175
8,2,1,688,175
6,3,0,552,115
21,1,1,901,173
19,3,0,552,136
38,3,1,901,173
5,2,1,506,65
21,2,0,552,149
21,2,0,552,149
35,0,1,901,444
27,0,1,901,444
33,0,0,552,184
2,1,0,552,21
27,3,0,548,401
41,0,0,552,7
41,1,0,552,7
19,3,0,1019,58
5,3,0,552,198
21,0,1,1038,444
19,2,0,548,305
5,0,0,552,149
27,1,1,720,432
21,2,1,51,217
5,1,1,398,372
19,1,0,552,149
10,1,1,23,432
21,3,1,347,388
38,3,1,310,434
5,2,1,720,434
33,2,1,720,434
27,1,1,720,115
39,0,0,552,391
27,2,1,881,154
5,2,1,881,154
4,0,0,552,184
4,1,0,552,21
4,1,0,552,149
44,3,0,552,391
27,3,0,552,7
35,3,1,825,432
31,3,1,825,432
31,3,1,825,432
27,2,1,540,432
5,0,0,552,149
5,0,0,1052,289
38,2,1,153,416
42,2,1,51,128
21,2,1,256,388
21,2,1,256,388
5,3,1,720,154
5,2,1,720,7
5,2,1,720,7
21,1,1,629,372
21,3,0,1051,350
27,2,1,45,55
21,2,1,45,55
38,2,1,629,117
21,2,1,589,52
21,1,1,589,52
21,2,1,901,55
41,3,1,398,37
21,3,1,483,52
27,3,1,589,7
21,1,1,901,115
5,2,1,475,328
21,3,1,153,13
21,3,1,153,13
21,3,1,153,13
21,3,1,153,13
19,2,0,544,55
2,2,0,551,55
2,3,0,551,149
5,2,1,720,55
5,2,1,720,55
39,3,0,552,297
21,3,0,552,149
19,2,0,552,55
19,2,0,552,149
5,1,1,398,117
35,2,1,403,175
21,0,0,552,401
21,0,0,552,401
38,3,0,552,400
21,2,1,247,55
21,2,1,247,55
5,3,1,353,215
5,3,1,353,215
21,2,1,23,55
5,1,0,552,55
37,3,0,552,136
21,3,1,215,154
6,0,1,903,416
2,2,0,552,305
2,2,0,552,305
2,2,0,552,91
2,0,0,552,91
2,2,0,552,55
21,2,0,552,297
21,2,0,552,222
27,3,1,720,432
27,2,1,557,434
27,2,1,557,434
5,3,1,901,117
41,3,1,901,117
38,2,0,544,305
43,3,1,565,434
41,3,1,565,434
41,3,1,565,434
25,2,0,552,84
5,3,1,271,128
25,0,1,901,115
19,2,1,935,154
37,2,1,398,117
9,1,1,629,250
25,3,0,552,55
21,0,0,544,7
21,0,1,398,237
5,2,1,839,55
21,3,1,839,434
19,3,1,590,52
19,2,1,159,52
19,3,1,590,217
21,2,1,590,326
5,3,1,901,117
5,2,1,156,416
5,2,1,115,129
31,3,1,317,372
21,2,1,153,416
40,3,1,398,372
35,2,1,398,388
5,3,1,901,115
5,3,1,901,115
31,3,1,691,432
5,3,1,901,388
31,2,1,398,388
31,3,0,552,115
9,0,1,153,416
27,1,1,353,129
37,3,1,398,416
33,3,1,65,388
42,3,1,398,55
42,3,1,398,55
5,3,1,652,432
42,2,1,398,372
27,3,1,652,432
5,2,1,652,432
21,3,1,370,173
6,3,1,901,55
37,3,1,901,55
21,0,1,398,337
31,0,1,398,173
21,2,1,1009,52
5,1,0,552,265
41,0,0,552,7
5,2,0,552,149
5,1,0,552,7
19,3,0,552,55
7,2,0,552,434
5,0,1,398,475
19,0,1,398,475
19,0,1,398,235
19,0,1,398,235
19,0,1,398,182
19,1,1,398,258
19,0,1,398,475
2,3,1,65,434
2,2,1,740,454
2,2,1,740,454
5,3,0,552,467
2,3,0,552,401
2,2,0,552,305
5,3,1,939,128
41,3,1,939,128
12,2,0,552,305
42,3,0,552,149
5,2,1,580,7
8,2,1,580,7
19,3,0,552,149
19,3,0,552,149
27,2,1,590,340
41,2,1,590,340
40,3,1,262,128
19,2,1,509,182
19,3,1,509,432
6,3,1,38,337
44,3,1,590,337
7,3,1,720,432
5,4,0,552,149
19,3,1,1076,372
31,3,0,1052,289
31,3,0,1052,289
31,3,0,544,7
21,3,1,45,55
21,3,1,45,55
21,2,1,1157,112
35,2,1,479,431
5,3,0,552,391
35,3,1,152,416
33,3,1,398,117
5,2,1,271,117
35,3,1,194,432
43,3,1,720,7
19,2,1,720,372
19,2,1,720,372
2,3,1,720,372
28,0,1,720,311
5,2,1,901,55
21,3,1,398,444
14,3,0,544,7
41,3,0,544,55
40,3,1,720,7
21,1,0,552,149
5,1,0,552,305
5,2,1,509,52
37,0,0,552,149
19,3,0,552,55
25,2,0,552,297
41,2,1,927,55
7,2,0,548,305
5,3,0,552,434
35,3,1,153,444
35,3,1,153,444
21,2,1,589,340
21,2,1,589,340
5,2,1,589,340
6,1,1,589,340
31,1,1,271,118
38,1,0,551,91
9,1,1,988,37
39,3,1,271,434
39,3,1,115,416
21,1,1,988,416
9,2,0,790,115
33,2,1,264,416
19,2,0,552,149
5,2,1,317,372
41,2,1,245,115
25,2,1,245,115
35,2,1,900,115
21,3,0,552,184
40,2,1,901,388
19,2,0,552,7
19,2,0,552,297
40,3,0,548,391
31,3,0,548,391
5,3,1,153,416
5,3,1,799,416
5,3,1,799,416
5,0,0,552,391
29,0,0,552,7
27,2,0,544,55
27,1,1,720,118
33,2,1,488,416
38,2,1,901,61
25,2,1,652,475
5,1,1,353,118
33,3,1,590,154
21,2,1,901,173
21,2,1,901,173
37,3,1,620,37
43,2,1,316,372
37,1,1,1009,47
19,2,1,398,372
5,3,1,398,372
19,3,1,398,372
19,3,0,552,401
5,2,1,1056,278
11,1,1,590,37
40,3,1,488,52
33,3,0,552,136
33,2,0,552,91
33,3,0,552,149
33,2,0,548,136
33,2,0,548,305
31,2,0,552,297
31,3,0,544,406
21,3,0,552,115
5,3,1,901,115
29,2,1,719,55
27,2,1,963,374
27,2,1,963,374
40,2,1,629,250
21,2,1,992,55
2,1,0,1052,77
21,3,1,901,416
40,2,1,88,381
38,3,1,333,128
5,2,1,23,444
40,3,1,555,37
29,3,0,552,58
5,2,1,943,444
5,2,1,943,444
27,2,1,901,13
11,0,0,548,400
21,3,1,314,340
41,0,1,901,237
19,2,1,398,55
31,2,0,552,55
5,3,1,901,246
31,2,1,901,115
31,2,0,552,58
21,3,1,488,337
21,3,1,64,93
2,2,1,72,55
2,3,1,72,55
2,3,1,72,55
19,2,1,72,55
2,2,1,72,55
10,3,1,691,444
7,3,0,552,401
18,0,1,720,55
41,3,1,857,55
39,2,1,243,119
39,2,1,243,119
39,0,1,243,55
37,3,0,552,149
25,3,0,552,149
19,3,0,552,149
25,3,0,552,400
19,0,0,552,400
6,3,1,153,388
40,3,1,398,52
5,1,0,548,115
5,2,1,720,55
27,0,1,398,173
7,3,0,552,55
21,3,1,1108,349
5,1,0,552,84
25,2,0,552,222
25,2,0,552,136
19,2,0,552,149
19,3,0,552,149
35,0,1,825,432
40,3,1,243,55
5,2,1,901,115
7,3,1,398,52
27,1,1,1009,37
5,2,1,347,128
27,2,0,1052,247
27,2,1,1034,372
41,2,1,972,55
35,3,1,93,434
35,3,1,93,434
5,0,0,552,136
43,0,0,552,136
25,1,0,552,136
25,1,0,552,7
25,1,0,552,136
25,3,0,552,7
5,1,0,552,305
29,3,0,552,84
29,2,0,552,84
27,2,1,115,74
35,3,1,590,432
42,2,1,456,117
21,2,1,901,173
5,1,0,552,136
25,2,1,191,37
38,2,1,590,7
35,2,1,590,7
39,3,1,398,217
27,2,1,271,173
9,2,0,548,305
25,3,0,552,136
19,3,0,552,136
19,2,1,534,37
43,1,1,720,250
35,2,1,988,434
27,4,0,552,136
5,2,1,931,417
5,2,0,552,305
33,1,1,901,7
21,2,1,901,55
2,3,1,163,154
21,3,1,590,154
5,3,1,590,154
39,3,1,590,154
19,3,1,590,154
2,3,1,590,154
5,3,1,163,416
2,3,1,163,416
2,2,1,163,154
21,2,1,1123,154
5,2,1,1123,154
2,2,1,1123,154
2,2,1,163,37
2,2,1,163,37
2,2,1,163,37
2,2,1,163,37
21,2,0,552,7
31,2,1,1088,199
31,2,1,1088,199
31,2,1,1088,199
21,2,1,1088,199
21,2,1,1088,199
31,2,1,901,388
31,2,1,901,388
31,2,1,901,388
21,2,1,901,388
21,2,1,901,388
21,2,1,901,388
19,3,0,1052,289
25,3,0,552,7
19,3,0,552,136
19,3,0,552,149
40,2,1,959,311
7,1,1,398,173
19,3,1,720,173
19,3,1,720,55
42,1,1,720,30
29,2,1,211,37
29,2,1,998,337
37,1,0,552,115
19,1,0,552,467
33,3,1,429,7
29,3,1,691,466
19,3,1,403,173
43,0,0,552,297
37,1,0,552,305
41,3,1,720,55
21,0,1,901,118
19,3,0,552,184
21,1,1,398,481
37,2,1,1128,311
37,3,1,437,37
37,0,0,551,136
9,2,1,720,432
7,2,1,720,432
21,1,1,901,119
21,1,1,741,7
40,3,0,552,7
38,3,0,552,7
38,3,0,552,184
31,3,1,140,416
5,2,1,876,466
5,2,1,876,466
40,2,1,140,173
31,3,1,120,128
31,3,1,120,128
37,3,1,525,434
41,2,1,383,372
35,3,1,824,260
5,2,0,552,434
21,3,1,230,55
5,2,0,552,115
5,3,1,901,173
5,3,1,65,318
43,2,1,629,250
25,1,1,490,372
41,0,0,552,136
5,2,1,590,37
27,3,0,552,7
37,1,1,623,475
41,2,0,552,55
41,3,0,552,55
19,0,0,552,136
27,2,1,901,115
21,2,1,901,115
6,2,1,271,444
19,2,1,590,52
7,2,1,781,55
31,2,1,825,7
19,3,0,552,115
19,3,0,552,115
35,3,1,988,55
21,2,1,825,3
21,2,1,825,3
40,3,1,629,491
21,3,1,884,432
21,2,0,552,467
31,1,1,398,173
39,3,0,552,84
19,2,1,857,372
37,3,1,488,416
42,3,0,552,401
27,3,0,552,401
27,3,1,135,388
21,1,1,901,337
7,2,0,1052,247
42,2,1,877,444
42,2,1,877,444
42,2,1,877,444
5,3,1,398,372
33,2,1,398,213
25,3,0,552,401
21,3,1,303,432
21,2,1,303,432
21,3,1,720,7
39,3,1,45,128
2,3,1,347,342
11,3,1,915,45
44,3,1,45,349
42,2,1,263,128
21,2,1,153,416
5,2,0,548,7
21,3,1,230,55
21,3,1,472,337
21,0,1,629,182
21,2,1,640,175
21,2,1,640,175
29,0,0,552,7
19,2,0,544,305
7,2,1,398,213
5,3,1,353,135
35,3,0,552,136
35,3,0,552,136
6,3,1,347,374
35,3,1,901,215
31,3,1,901,215
31,3,1,901,215
21,3,0,544,391
19,2,1,1152,372
21,3,0,548,401
19,2,1,1152,372
19,2,1,1152,108
19,2,1,1152,108
5,2,1,1089,215
38,2,1,1140,432
27,1,1,398,55
40,3,1,585,7
43,2,1,99,55
21,0,1,901,13
21,2,1,638,257
6,2,1,99,55
5,2,1,901,173
44,2,0,552,91
27,3,1,353,8
21,1,1,901,475
5,2,1,398,372
5,2,1,398,372
19,2,0,552,305
27,3,1,737,173
21,2,1,812,374
31,2,1,720,7
7,0,0,552,401
5,3,1,383,434
21,2,1,488,217
31,2,1,481,117
35,3,1,115,340
5,3,1,590,52
5,3,1,590,52
21,2,1,872,326
5,2,1,481,52
37,2,1,901,173
31,2,1,720,7
39,3,0,552,7
42,2,0,552,7
35,1,1,590,311
31,2,1,606,154
35,3,1,65,74
31,3,1,582,7
21,2,0,552,149
21,1,0,548,305
5,2,1,45,115
29,2,0,552,305
21,3,0,552,55
5,3,1,271,372
5,3,1,271,372
35,2,1,824,217
31,2,1,824,217
31,2,1,901,215
21,2,1,901,215
39,3,1,235,55
39,3,1,235,55
5,3,1,901,115
35,2,1,229,55
19,2,1,484,416
21,3,1,901,55
7,2,0,552,55
7,3,1,839,7
5,0,1,51,374
5,2,1,901,55
5,3,1,901,13
6,2,1,370,388
6,3,1,1003,154
21,2,1,901,118
5,2,1,901,102
27,2,1,738,434
5,2,1,738,434
27,1,0,544,58
5,3,1,590,37
2,3,1,590,37
2,3,1,590,37
2,0,1,590,37
21,2,1,590,52
2,2,1,590,52
31,2,1,872,55
21,2,1,872,55
2,3,1,590,37
2,3,1,590,37
2,2,1,590,37
2,2,1,590,37
35,1,1,901,115
6,1,1,901,173
5,2,1,65,318
5,2,1,65,318
37,2,1,988,444
19,3,1,657,434
11,2,1,437,154
29,1,1,901,388
31,2,1,968,237
21,3,1,720,55
5,3,1,720,7
43,0,0,133,350
21,2,1,23,444
31,3,1,590,154
27,3,1,901,7
39,0,1,590,52
21,2,1,903,312
21,3,0,552,136
39,3,1,590,340
41,2,1,534,112
39,2,1,534,112
10,3,0,552,401
5,3,1,398,434
35,2,0,552,55
41,3,0,552,391
40,2,1,1157,112
10,0,1,1157,112
5,2,1,839,260
21,0,0,552,391
8,3,0,552,7
33,0,0,552,149
41,1,0,552,149
37,1,0,552,55
42,3,1,691,444
5,2,1,398,173
2,1,1,262,55
41,2,1,247,55
19,3,1,398,54
5,2,1,199,388
42,2,0,552,391
5,3,0,552,7
5,3,0,552,7
19,2,1,353,128
9,2,1,825,432
11,1,1,720,481
43,2,1,901,55
19,1,1,944,55
5,3,0,548,55
19,3,0,548,55
21,3,1,398,7
5,3,1,1088,117
31,2,1,23,215
5,2,1,67,173
21,2,1,50,154
21,3,1,651,432
27,2,1,960,117
40,3,1,45,118
27,3,1,590,37
19,1,1,590,154
21,3,1,590,154
40,3,1,901,128
5,3,1,398,55
21,2,1,398,475
5,2,1,398,117
5,3,1,338,372
21,2,1,1003,173
35,2,1,872,416
19,3,0,552,136
27,3,1,153,416
5,3,1,720,55
27,2,1,199,117
21,3,1,398,37
21,3,1,398,444
35,2,1,398,372
37,1,1,153,388
27,3,1,590,340
5,3,1,271,154
5,0,0,552,58
6,2,0,552,7
22,0,0,552,149
9,3,1,720,199
5,3,1,948,416
5,3,1,720,215
35,2,1,1156,166
5,2,1,45,237
5,2,1,45,237
13,2,1,153,416
27,2,1,901,246
27,2,1,901,246
21,2,1,969,238
29,0,1,590,217
21,1,0,552,58
38,3,1,568,416
5,2,1,901,128
33,3,1,398,117
38,3,1,1069,173
8,3,0,552,401
6,3,1,945,173
6,3,1,945,173
6,2,1,353,388
26,0,0,552,84
7,3,0,552,149
26,0,0,552,91
26,1,0,552,84
26,1,0,552,217
21,3,1,720,388
19,2,1,812,154
19,2,1,812,154
29,0,0,552,136
42,3,0,552,149
21,3,1,901,55
19,2,1,333,154
19,3,1,338,117
19,3,1,338,117
