age_upon_outcome,sex_upon_outcome,animal_type,breed,color
42,3,0,1052,289
11,3,1,900,337
7,3,1,589,154
10,2,1,271,173
10,3,1,590,217
42,2,1,590,52
44,3,1,988,477
42,2,1,740,7
42,2,1,740,7
44,3,1,901,444
44,3,1,725,36
44,2,1,472,37
44,3,0,544,7
10,2,1,901,118
44,3,1,276,444
42,3,1,613,52
44,3,1,720,55
44,3,1,900,173
9,3,1,447,154
40,2,1,457,7
12,3,1,536,52
10,2,1,901,173
9,2,1,901,173
44,2,1,900,258
44,3,1,397,37
40,3,1,720,181
42,3,0,552,401
42,3,0,1052,350
9,3,1,397,311
42,2,0,1052,200
7,3,0,552,136
42,3,0,552,136
7,2,1,900,215
44,3,1,720,234
9,3,1,398,117
9,3,1,577,326
7,2,1,1008,37
40,2,1,767,337
7,3,1,230,215
44,3,1,230,215
42,3,1,230,215
7,3,1,247,416
7,3,1,247,416
42,2,0,544,22
7,2,1,635,379
7,2,1,230,55
9,2,1,720,217
44,2,1,1069,388
9,1,1,1002,117
11,2,1,590,55
11,2,1,590,55
42,3,1,791,432
10,2,1,488,117
7,3,1,1014,37
44,3,1,211,37
10,2,1,353,337
44,3,1,652,444
44,3,1,213,38
44,2,1,141,37
44,3,1,153,183
42,3,1,153,183
44,2,1,1038,55
27,2,1,839,371
7,3,1,163,154
42,3,1,163,154
42,3,1,163,154
40,3,0,1074,355
42,2,1,900,445
7,3,0,552,7
7,2,1,987,416
9,2,1,115,213
7,2,1,398,215
42,2,1,398,215
44,3,1,824,432
9,3,1,1055,55
7,2,1,901,215
42,2,1,1055,382
7,3,0,1052,350
10,1,1,876,444
11,3,1,590,154
9,3,1,901,337
44,3,1,901,337
44,3,1,901,337
10,2,1,900,128
9,2,1,900,128
7,2,1,900,128
7,2,1,900,128
7,2,1,900,128
7,2,1,900,128
40,3,1,901,258
42,3,1,140,416
44,3,1,230,388
44,3,1,392,469
44,1,1,719,481
17,2,1,397,37
10,2,0,552,115
9,1,1,230,55
9,1,1,230,55
7,3,1,263,128
7,2,1,741,37
7,2,1,900,215
40,2,0,552,55
13,0,1,398,444
11,0,1,398,444
9,3,1,720,181
7,2,1,271,173
9,3,1,875,477
42,2,0,43,115
44,3,1,353,76
42,3,0,1052,289
44,3,1,1008,52
42,3,0,552,7
44,3,1,271,337
13,3,1,397,213
13,3,1,979,65
7,3,1,901,13
40,3,1,901,13
